127.0.0.1, 2019-07-06 17:19:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:19:59, GET, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.077000
127.0.0.1, 2019-07-06 17:20:00, GET, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.130000
127.0.0.1, 2019-07-06 17:20:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:20:00, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.148000
127.0.0.1, 2019-07-06 17:20:00, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.287000
127.0.0.1, 2019-07-06 17:20:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.361000
127.0.0.1, 2019-07-06 17:20:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.276000
127.0.0.1, 2019-07-06 17:20:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.945000
127.0.0.1, 2019-07-06 17:20:09, POST, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.073000
127.0.0.1, 2019-07-06 17:21:00, POST, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.071000
127.0.0.1, 2019-07-06 17:21:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092000
127.0.0.1, 2019-07-06 17:21:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.673000
127.0.0.1, 2019-07-06 17:21:15, POST, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.059000
127.0.0.1, 2019-07-06 17:21:20, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.369000
127.0.0.1, 2019-07-06 17:21:20, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:21:22, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-21-19.07602ab9-6022-48e3-b27a-1c9fc5443c0a, HTTP/1.1, 200, 0.461000
